tree_id,x,y,height,dbh,crown_radius,base_height,crown_area,crown_volume,cluster
1,47.26210000010058,80.19939999992175,5.8,0.095,1.725,2,7.7,22.2,2
2,48.70910000002794,79.88739999953806,8.5,0.099,1.85,2.9,9,38.5,2
3,62.83410000002794,79.08139999967216,15.6,0.176,4.625,2.9,59.9,407.8,1
4,80.54710000001677,74.55339999973923,9.9,0.355,4.175,1.4,51.1,153.8,1
5,46.37210000008661,79.25539999978766,13.6,0.024,3.5250000000000004,2.5,34.2,144.4,1
6,38.0431000000596,79.99439999984726,4,0.067,1.825,1.6,9.2,15.1,2
7,33.792100000012105,77.61539999965727,9.8,0.083,3.7,4.9,36.6,129.8,1
8,56.59610000001583,80.15339999983236,3.4,0.07,0.225,1.4,0.1,0.2,2
9,45.94210000003539,79.64939999964236,3.9,0.087,1.2000000000000002,1.6,3.3,6,2
10,42.356100000025144,80.03539999958275,10.6,0.144,2.175,7,12.9,44.9,2
11,54.695100000061466,77.74639999970944,5.7,0.049,1.15,1.3,3,6.9,2
12,63.57910000002328,78.58439999969823,10.6,0.164,2.375,1.9,16.1,58.8,1
13,47.65310000004564,78.84139999991432,4.2,0.06,0.725,2,1.5,2.6,2
14,44.382100000095924,71.12239999987334,16.1,0.16,2.325,6.3,14.6,88.7,1
15,58.56510000005681,76.98339999990688,3.7,0.097,0.85,1.9,2.1,3.6,2
16,45.23310000000372,79.99739999987334,3.2,0.123,1.05,3,2.2,3.9,2
17,43.97610000002049,77.44639999989568,3.5,0.045,1.25,3.5,4.1,5.2,2
18,37.2031000000922,79.60339999955296,14.3,0.166,4.175,3.7,45.8,168.8,1
19,62.22010000008475,78.58139999967216,7.7,0.109,1.725,3.5,8.6,21,2
20,57.14210000010524,80.01939999975411,15.5,0.149,4.075,10.8,43.8,202.8,1
21,73.86610000003446,77.39339999959022,4.8,0.078,5.975,2.4,99.8,382.7,2
23,54.86310000000838,78.9433999998696,7.2,0.059,1.5,2.1,6.2,18,2
24,52.12910000006985,70.26339999970197,6.1,0.062,0.85,1.9,2.1,5.3,2
25,38.681100000095,75.60739999974295,16.8,0.156,3.225,11.9,25.2,80.8,1
26,71.61110000002981,79.31539999984354,3.8,0.173,1.45,1.5,5.5,11.2,2
27,59.01910000008382,73.84839999966472,12.5,0.113,1.95,7.1,11.6,41.9,1
28,65.18610000009966,76.65539999969452,13.3,0.217,3.15,6.4,22.2,89.4,1
30,50.37310000001769,79.65039999980628,13.7,0.283,4.175,6.5,44.2,171.6,1
31,41.03110000007171,76.09939999982863,16.9,0.205,3.475,8.6,32.2,137.5,1
32,49.11610000003446,76.80039999971316,4.6,0.062,0.6499999999999999,2,1.3,2.7,2
33,36.96110000000652,76.7223999995008,14.1,0.16,4.075,9.8,41.5,135,1
34,70.77709999999814,69.97939999971688,14.4,0.139,3.3,8.1,29.1,124.1,1
