rain[mm]	temperature[°C]	irradiance[μmol/s/m2]	day_length[h]	PET[mm]	co2[ppm]
0.9	10.1	87.0	10.2	2.7	403.8
0.1	13.0	171.5	10.2	3.7	403.8
0.1	14.6	192.7	10.2	4.4	403.8
3.5	14.6	96.8	10.3	4.1	403.8
0.2	6.3	266.9	10.3	3.4	403.8
0.0	1.7	105.8	10.3	2.2	403.8
0.0	2.9	287.2	10.3	2.9	403.8
0.0	6.3	290.0	10.3	3.4	403.8
11.3	12.0	246.0	10.3	4.3	403.8
9.6	6.9	32.9	10.3	4.0	403.8
0.0	5.0	297.9	10.3	2.9	403.8
0.0	4.7	295.6	10.4	3.1	403.8
0.3	4.9	197.7	10.4	2.9	403.8
0.0	1.0	257.6	10.4	2.2	403.8
0.0	4.7	301.0	10.4	3.4	403.8
0.0	2.8	239.6	10.4	3.0	403.8
15.0	7.5	280.3	10.4	4.0	403.8
8.3	4.2	14.7	10.5	2.4	403.8
8.4	0.8	38.1	10.5	1.6	403.8
12.6	-0.5	60.0	10.5	1.2	403.8
2.2	-1.0	124.9	10.5	1.2	403.8
3.7	1.8	54.9	10.5	2.1	403.8
5.2	8.0	215.0	10.6	3.0	403.8
25.8	9.0	38.2	10.6	3.5	403.8
2.1	1.2	63.7	10.6	2.2	403.8
0.2	-1.4	270.6	10.6	1.9	403.8
0.0	-0.4	331.3	10.6	2.5	403.8
0.0	-1.2	340.2	10.7	2.4	403.8
0.0	3.0	213.4	10.7	2.9	403.8
0.7	4.2	86.8	10.7	2.1	403.8
2.0	8.9	149.6	10.7	3.9	403.8
22.4	13.9	142.3	10.8	4.4	403.8
2.0	2.3	54.5	10.8	3.9	403.8
0.1	1.5	250.0	10.8	2.2	403.8
1.7	2.1	110.2	10.8	1.8	403.8
8.1	3.9	139.2	10.9	2.0	403.8
8.0	4.7	77.5	10.9	3.0	403.8
1.2	0.5	162.9	10.9	2.1	403.8
0.0	-0.7	215.3	10.9	2.7	403.8
0.1	2.2	340.6	11.0	3.3	403.8
0.1	3.0	132.0	11.0	2.4	403.8
0.5	2.4	288.2	11.0	2.7	403.8
10.5	3.1	52.7	11.0	1.8	403.8
28.0	4.2	96.9	11.1	2.9	403.8
8.6	-0.1	59.9	11.1	1.9	403.8
