rain[mm]	temperature[°C]	irradiance[μmol/s/m2]	day_length[h]	PET[mm]	co2[ppm]
0.9	9.9	94.8	10.2	2.8	403.8
0.1	12.9	184.6	10.2	3.8	403.8
0.1	14.7	190.3	10.2	4.3	403.8
3.6	14.6	92.5	10.3	4.1	403.8
0.1	6.2	268.8	10.3	3.4	403.8
0.0	1.5	103.2	10.3	2.2	403.8
0.0	2.9	287.9	10.3	3.0	403.8
0.0	5.4	290.7	10.3	3.2	403.8
15.2	11.4	182.9	10.3	4.1	403.8
8.7	5.8	29.4	10.3	3.8	403.8
0.0	4.7	298.6	10.3	3.0	403.8
0.0	3.8	282.7	10.4	3.1	403.8
4.1	3.4	204.7	10.4	2.5	403.8
0.0	1.7	242.4	10.4	2.4	403.8
0.0	4.1	303.2	10.4	3.2	403.8
0.0	5.4	307.0	10.4	3.6	403.8
0.0	6.4	294.6	10.4	4.5	403.8
0.0	-2.0	308.8	10.5	2.0	403.8
0.0	-1.6	313.3	10.5	2.5	403.8
0.0	-1.7	322.3	10.5	2.7	403.8
0.0	1.1	321.0	10.5	3.5	403.8
0.0	3.3	281.9	10.5	3.1	403.8
10.6	9.0	82.7	10.6	3.6	403.8
2.0	7.0	41.4	10.6	4.2	403.8
0.1	2.5	209.9	10.6	2.6	403.8
0.3	1.2	105.3	10.6	1.4	403.8
6.8	3.4	86.1	10.6	2.0	403.8
28.0	5.9	15.4	10.7	2.3	403.8
19.8	4.5	22.4	10.7	3.4	403.8
0.5	-0.8	125.1	10.7	1.9	403.8
0.1	-0.7	167.2	10.7	2.1	403.8
0.0	-3.4	316.9	10.8	2.2	403.8
0.0	-2.0	350.0	10.8	2.4	403.8
0.0	-1.4	348.6	10.8	2.8	403.8
0.2	2.7	228.6	10.8	3.1	403.8
0.0	3.7	65.8	10.9	2.1	403.8
1.9	6.6	118.9	10.9	3.1	403.8
4.0	6.7	64.6	10.9	2.3	403.8
2.0	4.8	48.1	10.9	1.6	403.8
0.2	5.0	49.6	11.0	1.7	403.8
14.3	6.7	56.2	11.0	2.3	403.8
12.5	5.7	39.0	11.0	2.0	403.8
0.9	9.6	123.9	11.0	4.0	403.8
2.6	17.1	208.8	11.1	5.3	403.8
6.1	9.7	66.2	11.1	6.1	403.8
39.4	3.2	28.4	11.1	1.5	403.8
1.4	0.4	42.2	11.2	2.0	403.8
0.1	0.6	313.8	11.2	2.8	403.8
0.2	4.1	386.6	11.2	4.3	403.8
0.1	5.9	260.9	11.2	4.7	403.8
8.7	10.4	223.2	11.3	5.3	403.8
2.7	11.2	69.1	11.3	3.9	403.8
31.9	13.5	78.0	11.3	4.1	403.8
3.2	6.7	102.9	11.4	5.7	403.8
0.1	0.9	248.0	11.4	3.0	403.8
0.0	3.1	413.9	11.4	3.9	403.8
0.1	5.1	390.3	11.4	4.8	403.8
0.1	8.2	359.0	11.5	6.2	403.8
0.5	13.2	256.2	11.5	6.4	404.4
13.5	16.7	205.5	11.5	5.8	404.4
2.7	9.1	115.2	11.6	5.1	404.4
18.6	8.5	116.3	11.6	3.5	404.4
7.5	9.6	122.7	11.6	4.2	404.4
6.7	7.9	29.9	11.7	6.0	404.4
0.0	5.1	432.9	11.7	4.0	404.4
0.0	5.7	419.4	11.7	4.5	404.4
0.8	8.0	206.2	11.7	4.0	404.4
2.0	6.9	55.2	11.8	3.2	404.4
17.4	10.6	268.1	11.8	5.3	404.4
25.8	8.9	19.8	11.8	1.9	404.4
1.4	10.9	39.6	11.9	4.6	404.4
0.1	18.3	403.7	11.9	7.0	404.4
10.0	15.3	86.5	11.9	7.7	404.4
0.3	11.1	140.6	12.0	5.3	404.4
