rain[mm]	temperature[°C]	irradiance[μmol/s/m2]	day_length[h]	PET[mm]	co2[ppm]
0.9	10.0	99.7	10.2	2.8	403.8
0.1	12.6	171.0	10.2	3.6	403.8
0.1	14.5	188.7	10.2	4.4	403.8
3.9	14.7	89.9	10.3	4.1	403.8
0.1	6.3	274.1	10.3	3.4	403.8
0.0	1.8	110.9	10.3	2.2	403.8
0.0	3.7	289.7	10.3	3.2	403.8
0.2	7.5	283.5	10.3	3.5	403.8
17.4	11.6	72.4	10.3	3.5	403.8
11.6	6.2	29.4	10.3	3.9	403.8
0.1	3.5	209.1	10.3	2.3	403.8
0.1	3.3	297.1	10.4	3.0	403.8
0.0	0.3	247.0	10.4	1.9	403.8
0.0	0.6	299.3	10.4	2.2	403.8
0.0	4.4	305.2	10.4	3.3	403.8
0.0	6.0	309.3	10.4	4.0	403.8
0.0	0.5	272.4	10.4	3.0	403.8
0.0	-1.4	306.5	10.5	2.3	403.8
0.0	-1.3	310.8	10.5	2.6	403.8
0.0	0.9	262.6	10.5	2.7	403.8
0.0	3.8	218.7	10.5	3.2	403.8
1.7	8.7	130.2	10.5	3.7	403.8
12.7	10.9	227.7	10.6	4.0	403.8
14.0	7.2	29.7	10.6	1.6	403.8
0.7	6.7	193.6	10.6	3.2	403.8
0.0	4.3	293.4	10.6	3.3	403.8
3.4	4.2	275.6	10.6	2.7	403.8
12.7	6.1	38.5	10.7	3.0	403.8
2.8	5.0	109.1	10.7	2.3	403.8
3.5	8.7	68.6	10.7	2.3	403.8
1.1	7.9	126.9	10.7	2.9	403.8
6.2	7.3	74.7	10.8	2.4	403.8
5.7	5.0	17.4	10.8	2.0	403.8
2.2	4.9	46.6	10.8	2.2	403.8
6.3	6.8	44.2	10.8	3.1	403.8
3.6	4.2	55.9	10.9	2.2	403.8
6.2	3.1	52.4	10.9	1.4	403.8
24.1	4.1	40.1	10.9	1.7	403.8
1.3	3.9	64.1	10.9	1.7	403.8
11.3	9.3	91.2	11.0	3.4	403.8
6.1	4.5	25.3	11.0	3.5	403.8
0.3	1.5	177.1	11.0	3.1	403.8
0.6	4.6	223.7	11.0	4.1	403.8
0.6	3.1	42.0	11.1	1.8	403.8
21.9	6.0	82.6	11.1	3.0	403.8
12.1	8.5	118.6	11.1	2.8	403.8
2.4	5.3	73.9	11.2	3.7	403.8
0.3	1.3	69.0	11.2	1.3	403.8
8.6	3.0	175.6	11.2	2.6	403.8
19.0	0.7	42.6	11.2	1.2	403.8
7.2	-0.7	57.3	11.3	1.8	403.8
